Row;BM-CLC;BM-MEGAHIT;BM-MetaSPADES;CH-MetaSPADES;SH-CLC
connectedComponent0480;1;0;1;0;0;
connectedComponent0481;1;1;1;1;0;
connectedComponent0482;0;0;1;1;0;
connectedComponent0483;1;0;1;1;1;
connectedComponent0484;0;0;1;1;0;
connectedComponent0485;1;0;1;0;0;
connectedComponent0486;1;1;1;1;1;
connectedComponent0487;1;0;1;1;0;
connectedComponent0488;0;0;1;1;0;
connectedComponent0489;1;1;1;1;0;
connectedComponent0490;1;1;1;1;1;
connectedComponent0491;0;0;1;1;0;
connectedComponent0492;0;0;1;1;0;
connectedComponent0493;1;1;1;1;1;
connectedComponent0494;1;1;1;1;0;
connectedComponent0495;1;0;1;0;1;
connectedComponent0496;1;0;1;1;0;
connectedComponent0497;0;0;1;1;0;
connectedComponent0498;1;0;0;0;1;
connectedComponent0499;1;0;1;1;0;
connectedComponent0500;1;0;1;1;0;
connectedComponent0501;1;1;1;1;1;
connectedComponent0502;1;0;1;1;0;
connectedComponent0503;1;1;1;1;0;
connectedComponent0504;1;1;1;1;1;
connectedComponent0505;1;0;0;1;0;
connectedComponent0506;1;1;1;1;1;
connectedComponent0507;0;0;1;1;0;
connectedComponent0508;1;1;1;1;0;
connectedComponent0509;1;0;1;1;0;
connectedComponent0510;0;0;1;1;0;
connectedComponent0511;0;0;1;1;0;
connectedComponent0512;0;0;1;1;0;
connectedComponent0513;0;1;1;1;0;
connectedComponent0514;0;0;1;1;0;
connectedComponent0515;1;0;1;1;0;
connectedComponent0516;0;0;1;1;0;
connectedComponent0517;1;1;1;1;1;
connectedComponent0518;0;0;1;1;0;
connectedComponent0519;1;0;1;1;0;
connectedComponent0520;1;1;1;1;1;
connectedComponent0521;1;0;0;1;0;
connectedComponent0522;1;1;0;0;0;
connectedComponent0523;1;1;1;1;0;
connectedComponent0524;0;0;1;1;0;
connectedComponent0525;1;0;0;0;1;
connectedComponent0526;0;1;1;1;0;
connectedComponent0527;1;1;1;1;1;
connectedComponent0528;1;0;1;0;0;
connectedComponent0529;1;0;1;1;0;
connectedComponent0530;1;1;1;1;1;
connectedComponent0531;1;1;1;1;0;
connectedComponent0532;1;1;0;0;1;
connectedComponent0533;0;0;1;1;0;
connectedComponent0534;0;0;1;1;0;
connectedComponent0535;1;1;1;1;1;
connectedComponent0536;0;1;1;1;0;
connectedComponent0537;1;0;1;1;0;
connectedComponent0538;1;0;1;1;0;
connectedComponent0539;1;0;1;1;0;
connectedComponent0540;0;0;1;1;0;
connectedComponent0541;0;1;1;1;0;
connectedComponent0542;1;0;1;1;1;
connectedComponent0543;1;1;0;0;1;
connectedComponent0544;1;1;1;1;0;
connectedComponent0545;0;0;1;1;0;
connectedComponent0546;0;0;1;1;0;
connectedComponent0547;1;1;1;1;1;
connectedComponent0548;1;0;0;1;1;
connectedComponent0549;1;0;0;0;1;
connectedComponent0550;1;1;1;1;1;
connectedComponent0551;1;1;1;1;0;
connectedComponent0552;1;1;1;1;1;
connectedComponent0553;1;1;1;1;1;
connectedComponent0554;1;0;1;1;0;
connectedComponent0555;1;1;1;1;0;
connectedComponent0556;1;1;1;1;0;
connectedComponent0557;0;0;1;1;0;
connectedComponent0558;0;0;1;1;0;
connectedComponent0559;1;1;1;1;1;
connectedComponent0560;0;0;1;1;0;
connectedComponent0561;1;1;1;1;1;
connectedComponent0562;0;0;1;1;0;
connectedComponent0563;1;1;1;1;1;
connectedComponent0564;0;1;1;1;0;
connectedComponent0565;1;1;1;1;1;
connectedComponent0566;1;1;1;1;1;
connectedComponent0567;1;1;1;1;1;
connectedComponent0568;1;0;1;1;0;
connectedComponent0569;0;0;1;1;0;
connectedComponent0570;0;0;1;1;0;
connectedComponent0571;0;0;1;1;0;
connectedComponent0572;1;1;1;1;1;
connectedComponent0573;1;1;1;1;1;
connectedComponent0574;1;0;1;1;0;
connectedComponent0575;0;0;1;1;0;
connectedComponent0576;0;1;1;1;0;
connectedComponent0577;1;1;1;1;1;
connectedComponent0578;0;0;1;1;0;
connectedComponent0579;1;0;1;1;0;
connectedComponent0580;0;0;1;1;0;
connectedComponent0581;1;1;0;0;1;
connectedComponent0582;1;1;1;1;1;
connectedComponent0583;1;1;1;1;1;
connectedComponent0584;1;1;1;1;1;
connectedComponent0585;1;0;1;1;0;
connectedComponent0586;0;0;1;1;0;
connectedComponent0587;1;1;1;1;1;
connectedComponent0588;0;0;1;1;0;
connectedComponent0589;1;1;1;1;1;
connectedComponent0590;1;1;1;1;0;
connectedComponent0591;0;0;1;1;0;
connectedComponent0592;1;0;1;1;0;
connectedComponent0593;1;0;1;1;0;
connectedComponent0594;1;0;1;1;0;
connectedComponent0595;0;0;1;1;0;
connectedComponent0596;0;0;1;1;0;
connectedComponent0597;1;1;1;1;1;
connectedComponent0598;1;1;1;1;1;
connectedComponent0599;1;0;0;0;1;
connectedComponent0600;0;0;1;1;0;
connectedComponent0601;0;0;1;1;0;
connectedComponent0602;1;0;1;1;0;
connectedComponent0603;1;1;1;1;1;
connectedComponent0604;1;0;1;1;0;
connectedComponent0605;0;0;1;1;0;
connectedComponent0606;0;1;1;1;1;
connectedComponent0607;1;1;1;1;1;
connectedComponent0608;0;1;1;1;0;
connectedComponent0609;1;0;1;1;0;
connectedComponent0610;0;0;1;1;0;
connectedComponent0611;1;0;1;1;0;
connectedComponent0612;1;1;1;1;1;
connectedComponent0613;1;1;1;1;0;
connectedComponent0614;1;1;1;1;0;
connectedComponent0615;1;1;1;1;1;
connectedComponent0616;1;1;1;1;0;
connectedComponent0617;1;0;1;1;0;
connectedComponent0618;0;0;1;1;0;
connectedComponent0619;1;1;1;1;0;
connectedComponent0620;0;0;1;1;0;
connectedComponent0621;0;0;1;1;0;
connectedComponent0622;1;0;1;1;0;
connectedComponent0623;0;0;1;1;0;
connectedComponent0624;1;1;0;0;1;
connectedComponent0625;1;0;1;1;0;
connectedComponent0626;1;0;1;1;0;
connectedComponent0627;0;0;1;1;0;
connectedComponent0628;1;0;1;1;0;
connectedComponent0629;1;0;1;1;0;
connectedComponent0630;1;1;0;0;1;
connectedComponent0631;1;1;1;1;0;
connectedComponent0632;0;1;0;0;1;
connectedComponent0633;0;0;1;1;0;
connectedComponent0634;0;0;1;1;0;
connectedComponent0635;1;0;1;1;0;
connectedComponent0636;0;0;1;1;0;
connectedComponent0637;0;1;1;1;0;
connectedComponent0638;1;1;1;1;0;
connectedComponent0639;1;1;1;1;1;
connectedComponent0640;1;1;1;1;0;
connectedComponent0641;1;1;1;1;1;
connectedComponent0642;0;0;1;1;0;
connectedComponent0643;0;0;1;1;0;
connectedComponent0644;1;0;1;1;0;
connectedComponent0645;1;1;1;1;0;
connectedComponent0646;1;1;1;1;1;
connectedComponent0647;0;0;1;1;0;
connectedComponent0648;1;1;1;1;1;
connectedComponent0649;1;1;1;1;1;
connectedComponent0650;0;1;1;1;0;
connectedComponent0651;0;0;1;1;0;
connectedComponent0652;1;0;1;0;0;
connectedComponent0653;0;0;1;1;0;
connectedComponent0654;1;0;1;1;0;
connectedComponent0655;1;0;1;0;1;
connectedComponent0656;1;1;1;1;1;
connectedComponent0657;1;1;1;0;0;
connectedComponent0658;1;1;1;1;1;
connectedComponent0659;1;0;1;1;0;
connectedComponent0660;1;0;1;1;0;
connectedComponent0661;0;0;1;1;0;
connectedComponent0662;0;0;1;1;0;
connectedComponent0663;1;0;1;1;0;
connectedComponent0664;0;0;1;1;0;
connectedComponent0665;0;0;1;1;0;
connectedComponent0666;1;1;1;0;0;
connectedComponent0667;0;0;1;1;0;
connectedComponent0668;1;1;1;1;0;
connectedComponent0669;0;0;1;1;0;
connectedComponent0670;1;1;1;1;1;
connectedComponent0671;1;1;1;1;1;
connectedComponent0672;1;1;1;1;1;
connectedComponent0673;1;1;1;1;1;
connectedComponent0674;1;1;1;1;1;
connectedComponent0675;1;1;1;1;0;
connectedComponent0676;0;0;1;1;0;
connectedComponent0677;1;0;1;1;0;
connectedComponent0678;1;1;1;1;1;
connectedComponent0679;1;1;1;1;0;
connectedComponent0680;1;1;1;1;0;
connectedComponent0681;1;1;1;1;1;
connectedComponent0682;0;0;1;1;0;
connectedComponent0683;1;1;1;1;0;
connectedComponent0684;1;1;1;1;1;
connectedComponent0685;1;1;1;1;1;
connectedComponent0686;0;0;1;1;0;
connectedComponent0687;1;1;1;1;1;
connectedComponent0688;0;0;1;1;0;
