Row;BM-CLC;BM-MEGAHIT;BM-MetaSPADES;CH-MetaSPADES;SH-CLC
connectedComponent0317;0;0;1;1;0;
connectedComponent0318;0;0;1;1;0;
connectedComponent0319;0;0;1;1;0;
connectedComponent0320;0;0;1;1;0;
connectedComponent0321;0;0;1;1;0;
connectedComponent0322;0;0;1;1;0;
connectedComponent0323;1;0;1;1;0;
connectedComponent0324;1;1;1;1;1;
connectedComponent0325;0;0;1;1;0;
connectedComponent0326;1;1;1;1;1;
connectedComponent0327;1;0;0;1;1;
connectedComponent0328;0;0;1;1;0;
connectedComponent0329;1;0;1;1;0;
connectedComponent0330;1;1;1;1;1;
connectedComponent0331;1;1;1;1;0;
connectedComponent0332;0;0;1;1;0;
connectedComponent0333;0;0;1;1;0;
connectedComponent0334;1;1;1;1;1;
connectedComponent0335;1;1;1;1;1;
connectedComponent0336;1;0;1;1;0;
connectedComponent0337;1;1;1;1;1;
connectedComponent0338;0;0;1;1;0;
connectedComponent0339;0;0;1;1;0;
connectedComponent0340;0;0;1;1;0;
connectedComponent0341;0;0;1;1;0;
connectedComponent0342;1;0;1;1;1;
connectedComponent0343;1;1;1;1;1;
connectedComponent0344;1;1;1;1;1;
connectedComponent0345;1;1;1;1;1;
connectedComponent0346;1;0;1;1;0;
connectedComponent0347;1;1;1;1;1;
connectedComponent0348;0;0;1;1;0;
connectedComponent0349;1;0;1;1;0;
connectedComponent0350;1;0;1;1;0;
connectedComponent0351;1;1;1;1;1;
connectedComponent0352;1;0;1;1;0;
connectedComponent0353;0;0;1;1;0;
connectedComponent0354;1;1;0;0;1;
connectedComponent0355;0;0;1;1;0;
connectedComponent0356;1;1;0;0;0;
connectedComponent0357;1;1;1;1;1;
connectedComponent0358;1;0;1;1;0;
connectedComponent0359;1;1;1;1;1;
connectedComponent0360;1;1;1;1;1;
connectedComponent0361;1;0;1;1;1;
connectedComponent0362;1;1;1;1;1;
connectedComponent0363;0;1;0;1;0;
connectedComponent0364;1;1;1;1;1;
connectedComponent0365;0;0;1;1;0;
connectedComponent0366;0;1;1;1;1;
connectedComponent0367;0;0;1;1;0;
connectedComponent0368;0;0;1;1;0;
connectedComponent0369;1;1;1;1;1;
connectedComponent0370;0;1;1;1;0;
connectedComponent0371;1;0;1;1;0;
connectedComponent0372;0;0;1;1;0;
connectedComponent0373;0;0;1;1;0;
connectedComponent0374;0;0;1;1;0;
connectedComponent0375;1;0;1;1;0;
connectedComponent0376;1;1;1;1;1;
connectedComponent0377;1;1;1;1;1;
connectedComponent0378;0;0;1;1;0;
connectedComponent0379;1;0;1;1;0;
connectedComponent0380;0;0;1;1;0;
connectedComponent0381;1;0;1;1;0;
connectedComponent0382;0;0;1;1;0;
connectedComponent0383;0;1;1;1;0;
connectedComponent0384;1;1;1;1;1;
connectedComponent0385;0;0;1;1;0;
connectedComponent0386;1;1;1;1;0;
connectedComponent0387;1;0;1;1;0;
connectedComponent0388;1;1;1;1;1;
connectedComponent0389;1;1;1;1;1;
connectedComponent0390;0;1;0;1;0;
connectedComponent0391;0;1;1;0;0;
connectedComponent0392;0;1;1;1;0;
connectedComponent0393;1;1;1;1;1;
connectedComponent0394;1;1;1;1;1;
connectedComponent0395;1;1;1;1;1;
connectedComponent0396;1;1;0;1;0;
connectedComponent0397;1;0;1;1;0;
connectedComponent0398;1;1;1;1;1;
connectedComponent0399;0;0;1;1;0;
connectedComponent0400;0;0;1;1;0;
connectedComponent0401;0;0;1;1;0;
connectedComponent0402;0;0;1;1;0;
connectedComponent0403;1;1;1;1;0;
connectedComponent0404;1;1;0;1;1;
connectedComponent0405;1;1;1;1;1;
connectedComponent0406;1;1;1;1;1;
connectedComponent0407;0;0;1;1;0;
connectedComponent0408;1;1;1;1;1;
connectedComponent0409;1;1;1;1;0;
connectedComponent0410;0;0;1;1;0;
connectedComponent0411;0;0;1;1;0;
connectedComponent0412;1;1;0;0;0;
connectedComponent0413;0;0;1;1;0;
connectedComponent0414;1;0;1;0;0;
connectedComponent0415;1;1;1;1;1;
connectedComponent0416;1;1;1;1;1;
connectedComponent0417;1;0;1;1;0;
connectedComponent0418;1;1;1;1;1;
connectedComponent0419;1;0;1;1;0;
connectedComponent0420;1;0;1;1;0;
connectedComponent0421;1;1;0;0;1;
connectedComponent0422;1;0;1;1;0;
connectedComponent0423;1;1;1;1;1;
connectedComponent0424;1;0;1;1;1;
connectedComponent0425;1;0;1;1;0;
connectedComponent0426;0;0;1;1;0;
connectedComponent0427;0;0;1;1;0;
connectedComponent0428;1;0;1;1;0;
connectedComponent0429;0;0;1;1;0;
connectedComponent0430;1;0;1;1;0;
connectedComponent0431;1;0;1;1;0;
connectedComponent0432;1;1;1;1;1;
connectedComponent0433;0;0;1;1;0;
connectedComponent0434;1;0;1;0;0;
connectedComponent0435;1;0;1;1;0;
connectedComponent0436;0;0;1;1;0;
connectedComponent0437;0;0;1;1;0;
connectedComponent0438;1;1;1;1;1;
connectedComponent0439;1;1;1;1;0;
connectedComponent0440;0;0;1;1;0;
connectedComponent0441;1;1;1;1;0;
connectedComponent0442;0;0;1;1;0;
connectedComponent0443;1;1;1;1;1;
connectedComponent0444;1;1;1;1;1;
connectedComponent0445;1;1;1;1;1;
connectedComponent0446;1;0;1;1;0;
connectedComponent0447;0;0;1;1;0;
connectedComponent0448;1;0;0;0;1;
connectedComponent0449;0;0;1;1;0;
connectedComponent0450;1;1;0;0;1;
connectedComponent0451;1;1;1;1;0;
connectedComponent0452;1;1;1;1;1;
connectedComponent0453;1;0;0;0;1;
connectedComponent0454;1;1;1;1;1;
connectedComponent0455;1;1;1;1;1;
connectedComponent0456;0;0;1;1;0;
connectedComponent0457;1;1;0;0;0;
connectedComponent0458;1;1;0;1;1;
connectedComponent0459;1;1;1;1;0;
connectedComponent0460;0;1;1;1;0;
connectedComponent0461;1;1;1;1;1;
connectedComponent0462;1;0;1;1;0;
connectedComponent0463;0;0;1;1;0;
connectedComponent0464;1;1;1;1;1;
connectedComponent0465;1;1;1;1;1;
connectedComponent0466;0;0;1;1;0;
connectedComponent0467;1;1;0;1;0;
connectedComponent0468;0;0;1;1;0;
connectedComponent0469;0;0;1;1;0;
connectedComponent0470;0;0;1;1;0;
connectedComponent0471;1;1;1;1;1;
connectedComponent0472;0;1;1;1;0;
connectedComponent0473;0;0;1;1;0;
connectedComponent0474;1;1;0;0;1;
connectedComponent0475;1;1;1;1;1;
connectedComponent0476;1;0;1;1;0;
connectedComponent0477;1;0;1;1;1;
connectedComponent0478;1;0;1;1;0;
connectedComponent0479;0;0;1;1;0;
connectedComponent0480;0;0;1;1;0;
connectedComponent0481;1;1;1;1;0;
connectedComponent0482;1;0;1;1;0;
connectedComponent0483;1;1;1;1;1;
connectedComponent0484;0;0;1;1;0;
connectedComponent0485;1;1;1;1;1;
connectedComponent0486;1;1;1;1;1;
connectedComponent0487;0;0;1;1;0;
connectedComponent0488;0;0;1;1;0;
connectedComponent0489;1;1;0;0;0;
connectedComponent0490;1;1;1;1;0;
connectedComponent0491;1;1;1;1;0;
connectedComponent0492;0;1;1;1;0;
connectedComponent0493;0;0;1;1;0;
connectedComponent0494;1;1;1;1;1;
connectedComponent0495;1;1;1;1;1;
connectedComponent0496;1;1;0;0;0;
connectedComponent0497;1;1;1;1;0;
connectedComponent0498;0;0;1;1;0;
connectedComponent0499;0;0;1;1;0;
connectedComponent0500;1;0;1;1;0;
connectedComponent0501;0;0;1;1;0;
connectedComponent0502;1;1;1;1;1;
connectedComponent0503;0;1;0;0;1;
connectedComponent0504;1;0;1;1;1;
connectedComponent0505;1;1;1;1;0;
connectedComponent0506;1;0;1;0;1;
connectedComponent0507;0;0;1;1;0;
connectedComponent0508;1;1;1;1;1;
connectedComponent0509;1;1;1;1;1;
connectedComponent0510;0;0;1;1;0;
connectedComponent0511;1;0;1;1;0;
connectedComponent0512;1;0;1;1;0;
connectedComponent0513;1;1;1;1;1;
connectedComponent0514;1;1;1;1;1;
connectedComponent0515;1;1;1;1;0;
connectedComponent0516;1;0;1;0;0;
connectedComponent0517;1;1;1;1;0;
connectedComponent0518;1;1;1;1;1;
connectedComponent0519;0;1;0;1;0;
connectedComponent0520;1;0;1;1;0;
connectedComponent0521;1;1;1;0;1;
connectedComponent0522;1;1;1;1;1;
connectedComponent0523;1;0;1;1;0;
connectedComponent0524;1;1;1;1;1;
connectedComponent0525;1;0;1;0;0;
connectedComponent0526;1;1;1;1;0;
connectedComponent0527;1;1;1;0;1;
connectedComponent0528;0;1;1;1;0;
connectedComponent0529;0;1;1;1;0;
connectedComponent0530;0;0;1;1;0;
connectedComponent0531;1;1;0;0;1;
connectedComponent0532;0;0;1;1;0;
connectedComponent0533;1;0;0;1;0;
connectedComponent0534;1;1;1;0;0;
connectedComponent0535;1;1;1;1;1;
connectedComponent0536;0;0;1;1;0;
connectedComponent0537;1;0;1;1;0;
connectedComponent0538;1;1;1;1;0;
connectedComponent0539;0;0;1;1;0;
connectedComponent0540;1;1;0;0;0;
connectedComponent0541;1;1;1;1;1;
connectedComponent0542;1;0;1;1;0;
connectedComponent0543;0;0;1;1;0;
connectedComponent0544;1;1;1;1;1;
connectedComponent0545;1;1;1;1;1;
connectedComponent0546;0;1;0;1;0;
connectedComponent0547;1;1;1;1;1;
connectedComponent0548;1;1;1;1;1;
connectedComponent0549;1;1;1;1;1;
connectedComponent0550;0;0;1;1;0;
connectedComponent0551;1;0;1;0;0;
connectedComponent0552;1;1;1;1;0;
connectedComponent0553;0;1;1;1;0;
connectedComponent0554;0;0;1;1;0;
connectedComponent0555;1;0;1;1;1;
connectedComponent0556;0;0;1;1;0;
connectedComponent0557;1;0;1;0;0;
connectedComponent0558;1;1;1;1;1;
connectedComponent0559;1;0;1;1;0;
connectedComponent0560;0;0;1;1;0;
connectedComponent0561;1;1;1;1;1;
connectedComponent0562;1;1;1;1;1;
connectedComponent0563;0;0;1;1;0;
connectedComponent0564;0;0;1;1;0;
connectedComponent0565;1;1;1;1;1;
connectedComponent0566;1;1;1;1;0;
connectedComponent0567;1;0;1;1;0;
connectedComponent0568;0;0;1;1;0;
connectedComponent0569;1;0;1;1;0;
connectedComponent0570;1;0;0;0;1;
connectedComponent0571;1;1;1;1;1;
connectedComponent0572;1;1;1;1;1;
connectedComponent0573;1;0;1;1;0;
connectedComponent0574;1;1;1;1;0;
connectedComponent0575;1;1;1;1;1;
connectedComponent0576;1;1;1;1;1;
connectedComponent0577;1;1;1;1;1;
connectedComponent0578;0;0;1;1;0;
connectedComponent0579;0;0;1;1;0;
connectedComponent0580;1;1;1;0;1;
connectedComponent0581;1;1;1;1;1;
connectedComponent0582;0;1;1;1;0;
connectedComponent0583;1;0;1;1;0;
connectedComponent0584;0;0;1;1;0;
connectedComponent0585;0;0;1;1;0;
connectedComponent0586;0;0;1;1;0;
connectedComponent0587;0;1;1;1;0;
connectedComponent0588;0;0;1;1;0;
connectedComponent0589;1;0;1;0;0;
connectedComponent0590;1;1;1;1;1;
connectedComponent0591;0;0;1;1;0;
connectedComponent0592;0;0;1;1;0;
connectedComponent0593;0;0;1;1;0;
connectedComponent0594;1;0;1;1;0;
connectedComponent0595;1;0;1;0;1;
connectedComponent0596;1;0;0;1;0;
connectedComponent0597;1;1;0;0;0;
connectedComponent0598;1;1;1;1;0;
connectedComponent0599;1;1;0;1;1;
connectedComponent0600;0;0;1;1;0;
connectedComponent0601;1;0;0;0;1;
connectedComponent0602;1;1;1;1;1;
connectedComponent0603;1;0;1;1;0;
connectedComponent0604;1;0;1;1;0;
